old_path	new_exact_content_path	role
README.md	ai_context/migration/P0-J19-001/original_overlay/README.md	legacy candidate root README retained for audit
docs/architecture/tiny1p5-supervisor-profile-v1.1.md	ai_context/migration/P0-J19-001/legacy_docs/architecture/tiny1p5-supervisor-profile-v1.1.md	legacy architecture evidence; non-authoritative
docs/hardware/FPST-PRE-HARDWARE-SIGNOFF-v1.0.md	ai_context/migration/P0-J19-001/legacy_docs/hardware/FPST-PRE-HARDWARE-SIGNOFF-v1.0.md	legacy hardware gate; non-authoritative
docs/hardware/FPST-WIRING-GUIDE-v1.1.md	ai_context/migration/P0-J19-001/legacy_docs/hardware/FPST-WIRING-GUIDE-v1.1.md	legacy wiring evidence; non-authoritative
docs/spec-delta/FPST-v1.1-implementation-decisions.md	ai_context/migration/P0-J19-001/legacy_docs/decisions/FPST-v1.1-implementation-decisions.md	legacy decision register; non-authoritative
rtl/supervisor/fpst_supervisor_core.sv	tiny1p5/rtl/fpst_supervisor_core.sv	active Tiny RTL
targets/README.md	ai_context/migration/P0-J19-001/original_overlay/targets/README.md	legacy target index retained
targets/sn32f407/README.md	ai_context/migration/P0-J19-001/legacy_docs/build_guides/SN32_SOURCE_PROFILE.md	legacy build/source guide; non-authoritative
targets/sn32f407/firmware/CMakeLists.txt	ai_context/migration/P0-J19-001/original_overlay/targets/sn32f407/firmware/CMakeLists.txt	legacy-path build file retained
targets/sn32f407/firmware/KEIL_BUILD.md	ai_context/migration/P0-J19-001/legacy_docs/build_guides/SN32_KEIL_BUILD.md	legacy build guide; non-authoritative
targets/sn32f407/firmware/KEIL_DUAL_PRIMER_BUILD.md	ai_context/migration/P0-J19-001/legacy_docs/build_guides/SN32_KEIL_DUAL_PRIMER_BUILD.md	legacy build guide; non-authoritative
targets/sn32f407/firmware/platform/sn32f407/board_profile.h	sn32/firmware/platform/sn32f407/board_profile.h	active candidate source
targets/sn32f407/firmware/platform/sn32f407/fpst_sn32f407_dual_main.c	sn32/firmware/platform/sn32f407/fpst_sn32f407_dual_main.c	active candidate source
targets/sn32f407/firmware/platform/sn32f407/fpst_sn32f407_main.c	sn32/firmware/platform/sn32f407/fpst_sn32f407_main.c	active candidate source
targets/sn32f407/firmware/platform/sn32f407/fpst_sn32f407_p010_guard.c	sn32/firmware/platform/sn32f407/fpst_sn32f407_p010_guard.c	active candidate source
targets/sn32f407/firmware/platform/sn32f407/fpst_sn32f407_p010_guard.h	sn32/firmware/platform/sn32f407/fpst_sn32f407_p010_guard.h	active candidate source
targets/sn32f407/firmware/platform/sn32f407/fpst_sn32f407_port.c	sn32/firmware/platform/sn32f407/fpst_sn32f407_port.c	active candidate source
targets/sn32f407/firmware/platform/sn32f407/fpst_sn32f407_port.h	sn32/firmware/platform/sn32f407/fpst_sn32f407_port.h	active candidate source
targets/sn32f407/firmware/tests/check_p010_source_contract.py	ai_context/migration/P0-J19-001/original_overlay/targets/sn32f407/firmware/tests/check_p010_source_contract.py	exact script retained; relocated runner provided
targets/sn32f407/firmware/tests/test_sn32_p010_guard.c	ai_context/tests/sn32/test_sn32_p010_guard.c	active source-only test
targets/tiny1p5/README.md	ai_context/migration/P0-J19-001/legacy_docs/build_guides/TINY1P5_SOURCE_PROFILE.md	legacy build/source guide; non-authoritative
targets/tiny1p5/constraints/kiwi_tiny1p5_fpst.cst	tiny1p5/constraints/kiwi_tiny1p5_fpst.cst	active Tiny constraint
targets/tiny1p5/rtl/supervisor_top.sv	tiny1p5/rtl/supervisor_top.sv	active Tiny top
targets/tiny1p5/scripts/check_j1_9_open_drain.py	ai_context/migration/P0-J19-001/original_overlay/targets/tiny1p5/scripts/check_j1_9_open_drain.py	exact script retained; relocated runner provided
targets/tiny1p5/scripts/run_iverilog.sh	ai_context/migration/P0-J19-001/original_overlay/targets/tiny1p5/scripts/run_iverilog.sh	exact script retained; relocated runner provided
targets/tiny1p5/scripts/run_questa.do	ai_context/migration/P0-J19-001/original_overlay/targets/tiny1p5/scripts/run_questa.do	exact script retained; relocated runner provided
tb/integration/tb_supervisor_system_integration.sv	ai_context/testbenches/integration/tb_supervisor_system_integration.sv	inherited integration testbench
tb/supervisor/tb_fpst_supervisor_core.sv	ai_context/testbenches/supervisor/tb_fpst_supervisor_core.sv	active Tiny testbench
tb/supervisor/tb_supervisor_top_open_drain.sv	ai_context/testbenches/supervisor/tb_supervisor_top_open_drain.sv	active Tiny testbench
